adyghe          	low   	58.80	0.59
adyghe          	medium	84.00	0.28
adyghe          	high  	93.00	0.19
albanian        	low   	11.10	5.69
albanian        	medium	30.20	4.43
albanian        	high  	35.60	4.14
arabic          	low   	0.10	5.40
arabic          	medium	0.30	4.45
arabic          	high  	1.50	3.83
armenian        	low   	33.70	2.43
armenian        	medium	51.80	1.53
armenian        	high  	63.90	1.22
asturian        	low   	59.80	1.00
asturian        	medium	87.90	0.26
asturian        	high  	95.50	0.12
azeri           	low   	21.00	3.40
azeri           	medium	47.00	2.07
azeri           	high  	68.00	0.80
bashkir         	low   	38.20	1.90
bashkir         	medium	72.40	0.70
bashkir         	high  	87.40	0.41
basque          	low   	0.10	6.49
basque          	medium	1.90	5.57
basque          	high  	8.40	3.40
belarusian      	low   	6.60	2.53
belarusian      	medium	21.10	1.92
belarusian      	high  	41.50	1.60
bengali         	low   	26.00	2.79
bengali         	medium	50.00	1.92
bengali         	high  	57.00	1.77
breton          	low   	20.00	2.34
breton          	medium	51.00	1.43
breton          	high  	55.00	1.27
bulgarian       	low   	32.70	1.76
bulgarian       	medium	74.30	0.51
bulgarian       	high  	89.30	0.24
catalan         	low   	54.30	1.02
catalan         	medium	82.20	0.37
catalan         	high  	94.30	0.13
classical-syriac	low   	89.00	0.14
classical-syriac	medium	98.00	0.02
classical-syriac	high  	98.00	0.02
cornish         	low   	2.00	3.96
cornish         	medium	8.00	3.30
crimean-tatar   	low   	53.00	0.93
crimean-tatar   	medium	73.00	0.45
crimean-tatar   	high  	92.00	0.15
czech           	low   	35.10	2.21
czech           	medium	64.00	1.43
czech           	high  	72.90	1.29
danish          	low   	57.30	0.78
danish          	medium	78.00	0.37
danish          	high  	88.80	0.20
estonian        	low   	18.90	3.36
estonian        	medium	44.60	2.30
estonian        	high  	56.20	2.15
faroese         	low   	35.60	1.40
faroese         	medium	61.00	0.82
faroese         	high  	74.20	0.54
finnish         	low   	13.70	4.56
finnish         	medium	31.80	3.28
finnish         	high  	50.40	2.64
friulian        	low   	51.00	0.96
friulian        	medium	86.00	0.21
friulian        	high  	94.00	0.09
galician        	low   	52.50	1.27
galician        	medium	82.30	0.34
galician        	high  	93.70	0.11
georgian        	low   	71.80	0.55
georgian        	medium	89.70	0.25
georgian        	high  	93.80	0.12
greek           	low   	26.00	3.02
greek           	medium	54.40	1.81
greek           	high  	62.60	1.45
greenlandic     	low   	36.00	1.08
greenlandic     	medium	74.00	0.34
haida           	low   	32.00	6.07
haida           	medium	48.00	3.04
haida           	high  	55.00	2.52
hebrew          	low   	27.90	1.31
hebrew          	medium	40.00	0.94
hebrew          	high  	55.90	0.55
hindi           	low   	0.90	6.79
hindi           	medium	3.10	6.28
hindi           	high  	3.80	6.25
hungarian       	low   	14.90	2.29
hungarian       	medium	39.90	1.53
hungarian       	high  	68.70	0.64
icelandic       	low   	35.80	1.48
icelandic       	medium	60.40	0.80
icelandic       	high  	77.20	0.43
ingrian         	low   	20.00	1.86
ingrian         	medium	46.00	0.92
irish           	low   	22.00	4.07
irish           	medium	25.20	3.63
irish           	high  	31.70	3.34
italian         	low   	45.40	1.93
italian         	medium	70.50	0.83
italian         	high  	77.20	0.69
kabardian       	low   	78.00	0.29
kabardian       	medium	90.00	0.10
kabardian       	high  	90.00	0.10
karelian        	low   	40.00	1.76
karelian        	medium	48.00	0.82
kashubian       	low   	56.00	0.66
kashubian       	medium	74.00	0.46
kazakh          	low   	44.00	1.64
kazakh          	medium	64.00	0.86
khakas          	low   	36.00	1.82
khakas          	medium	92.00	0.20
khaling         	low   	3.90	4.30
khaling         	medium	18.40	1.91
khaling         	high  	53.80	0.82
kurmanji        	low   	76.20	0.97
kurmanji        	medium	78.90	0.84
kurmanji        	high  	85.80	0.61
ladin           	low   	59.00	1.06
ladin           	medium	85.00	0.40
ladin           	high  	92.00	0.14
latin           	low   	16.00	2.87
latin           	medium	36.60	1.14
latin           	high  	45.40	0.90
latvian         	low   	52.70	1.00
latvian         	medium	83.10	0.45
latvian         	high  	89.10	0.37
lithuanian      	low   	23.10	2.12
lithuanian      	medium	52.30	0.92
lithuanian      	high  	63.70	0.68
livonian        	low   	25.00	2.21
livonian        	medium	46.00	1.95
livonian        	high  	56.00	1.51
lower-sorbian   	low   	30.70	1.29
lower-sorbian   	medium	70.40	0.55
lower-sorbian   	high  	88.10	0.23
macedonian      	low   	46.90	1.09
macedonian      	medium	77.00	0.54
macedonian      	high  	86.10	0.36
maltese         	low   	11.00	2.03
maltese         	medium	21.00	1.63
maltese         	high  	25.00	1.54
mapudungun      	low   	50.00	1.40
mapudungun      	medium	64.00	1.00
middle-french   	low   	77.90	0.47
middle-french   	medium	90.00	0.18
middle-french   	high  	94.90	0.10
middle-high-german	low   	44.00	0.86
middle-high-german	medium	54.00	0.70
murrinhpatha    	low   	2.00	2.78
murrinhpatha    	medium	14.00	2.20
navajo          	low   	14.30	3.38
navajo          	medium	31.80	2.52
navajo          	high  	40.00	2.02
neapolitan      	low   	83.00	0.25
neapolitan      	medium	94.00	0.24
neapolitan      	high  	99.00	0.03
norman          	low   	34.00	2.56
norman          	medium	56.00	1.74
northern-sami   	low   	17.80	2.38
northern-sami   	medium	38.80	1.42
northern-sami   	high  	64.50	0.75
norwegian-bokmaal	low   	69.00	0.49
norwegian-bokmaal	medium	79.80	0.31
norwegian-bokmaal	high  	90.60	0.15
norwegian-nynorsk	low   	51.30	0.88
norwegian-nynorsk	medium	61.50	0.67
norwegian-nynorsk	high  	74.60	0.44
